timeflag:42	 2017/8/20 17:11:29	 0.002	 0.000	 0.000	 0.001	 -0.125	 9.790	 0.120	 7.260	 220.500
timeflag:43	 2017/8/20 17:11:29	 0.005	 0.000	 -0.002	 0.002	 -0.124	 9.800	 0.130	 7.270	 220.500
timeflag:44	 2017/8/20 17:11:29	 -0.002	 0.003	 -0.005	 0.002	 -0.125	 9.780	 0.130	 7.280	 220.500
timeflag:45	 2017/8/20 17:11:29	 0.000	 0.000	 -0.003	 0.002	 -0.125	 9.800	 0.130	 7.290	 220.500
timeflag:46	 2017/8/20 17:11:29	 -0.003	 0.002	 -0.002	 0.003	 -0.126	 9.780	 0.140	 7.290	 220.500
timeflag:47	 2017/8/20 17:11:29	 -0.005	 -0.002	 -0.007	 0.001	 -0.125	 9.800	 0.130	 7.290	 220.500
timeflag:48	 2017/8/20 17:11:29	 -0.003	 0.002	 -0.007	 0.003	 -0.125	 9.810	 0.140	 7.280	 220.500
timeflag:49	 2017/8/20 17:11:29	 -0.005	 0.002	 -0.005	 0.001	 -0.124	 9.800	 0.130	 7.270	 220.500
timeflag:50	 2017/8/20 17:11:30	 -0.005	 -0.002	 -0.007	 0.002	 -0.125	 9.800	 0.140	 7.280	 220.500
timeflag:51	 2017/8/20 17:11:30	 0.000	 0.010	 -0.005	 0.001	 -0.124	 9.810	 0.150	 7.280	 220.500
timeflag:52	 2017/8/20 17:11:30	 0.000	 0.005	 -0.005	 0.000	 -0.124	 9.800	 0.140	 7.270	 220.500
timeflag:53	 2017/8/20 17:11:30	 -0.003	 0.000	 -0.005	 0.002	 -0.125	 9.800	 0.130	 7.270	 220.500
timeflag:54	 2017/8/20 17:11:30	 -0.005	 0.000	 -0.002	 0.002	 -0.125	 9.800	 0.130	 7.270	 220.500
timeflag:55	 2017/8/20 17:11:30	 -0.005	 0.000	 -0.002	 0.002	 -0.125	 9.790	 0.130	 7.280	 220.500
timeflag:56	 2017/8/20 17:11:30	 0.007	 -0.017	 -0.002	 0.002	 -0.126	 9.800	 0.130	 7.280	 220.500
timeflag:57	 2017/8/20 17:11:30	 -0.012	 0.000	 0.000	 0.002	 -0.125	 9.800	 0.140	 7.290	 220.500
timeflag:58	 2017/8/20 17:11:30	 -0.007	 0.000	 0.000	 0.003	 -0.124	 9.820	 0.140	 7.290	 220.500
timeflag:59	 2017/8/20 17:11:30	 0.000	 0.000	 0.003	 0.002	 -0.125	 9.830	 0.150	 7.290	 220.500
timeflag:60	 2017/8/20 17:11:31	 0.000	 -0.002	 0.003	 0.002	 -0.124	 9.820	 0.150	 7.280	 220.500
timeflag:61	 2017/8/20 17:11:31	 0.003	 0.000	 0.003	 0.002	 -0.123	 9.780	 0.150	 7.280	 220.500
timeflag:62	 2017/8/20 17:11:31	 0.003	 0.000	 0.007	 0.001	 -0.124	 9.810	 0.150	 7.270	 220.500
timeflag:63	 2017/8/20 17:11:31	 0.005	 0.000	 0.007	 0.002	 -0.125	 9.790	 0.140	 7.270	 220.500
timeflag:64	 2017/8/20 17:11:31	 0.005	 0.000	 0.003	 0.001	 -0.127	 9.800	 0.140	 7.290	 220.500
timeflag:65	 2017/8/20 17:11:31	 0.009	 -0.002	 0.007	 0.002	 -0.125	 9.790	 0.140	 7.290	 220.500
timeflag:66	 2017/8/20 17:11:31	 0.003	 0.000	 0.003	 0.003	 -0.125	 9.790	 0.140	 7.300	 220.500
timeflag:67	 2017/8/20 17:11:31	 0.007	 -0.002	 0.003	 0.002	 -0.125	 9.810	 0.130	 7.290	 220.500
timeflag:68	 2017/8/20 17:11:31	 0.007	 0.002	 0.002	 0.002	 -0.124	 9.800	 0.130	 7.290	 220.500
timeflag:69	 2017/8/20 17:11:31	 0.009	 -0.002	 0.002	 0.001	 -0.125	 9.790	 0.130	 7.290	 220.500
timeflag:70	 2017/8/20 17:11:32	 0.000	 0.000	 0.002	 0.003	 -0.124	 9.780	 0.140	 7.280	 220.500
timeflag:71	 2017/8/20 17:11:32	 0.000	 0.002	 0.000	 0.002	 -0.125	 9.800	 0.140	 7.280	 220.500
timeflag:72	 2017/8/20 17:11:32	 -0.016	 -0.002	 0.003	 0.002	 -0.125	 9.800	 0.140	 7.280	 220.500
timeflag:73	 2017/8/20 17:11:32	 -0.003	 0.000	 0.000	 0.003	 -0.124	 9.810	 0.140	 7.270	 220.500
timeflag:74	 2017/8/20 17:11:32	 -0.003	 0.000	 0.000	 0.003	 -0.125	 9.820	 0.140	 7.270	 220.500
timeflag:75	 2017/8/20 17:11:32	 0.002	 0.000	 -0.003	 0.002	 -0.124	 9.790	 0.140	 7.270	 220.500
timeflag:76	 2017/8/20 17:11:32	 0.000	 0.000	 -0.005	 0.001	 -0.126	 9.800	 0.130	 7.280	 220.500
timeflag:77	 2017/8/20 17:11:32	 -0.003	 0.000	 -0.005	 0.002	 -0.125	 9.820	 0.130	 7.290	 220.500
timeflag:78	 2017/8/20 17:11:32	 0.047	 -0.031	 -0.010	 0.002	 -0.124	 9.790	 0.130	 7.300	 220.500
timeflag:79	 2017/8/20 17:11:33	 0.026	 -0.012	 -0.007	 0.003	 -0.124	 9.800	 0.120	 7.310	 220.500
timeflag:80	 2017/8/20 17:11:33	 -0.009	 0.000	 -0.003	 0.002	 -0.126	 9.790	 0.120	 7.290	 220.500
timeflag:81	 2017/8/20 17:11:33	 -0.037	 0.003	 -0.005	 0.001	 -0.125	 9.800	 0.130	 7.290	 220.500
timeflag:82	 2017/8/20 17:11:33	 -0.009	 0.000	 -0.005	 0.002	 -0.124	 9.780	 0.120	 7.290	 220.500
timeflag:83	 2017/8/20 17:11:33	 -0.010	 0.003	 -0.005	 0.002	 -0.125	 9.810	
