iPhasePC GPS状态 GPS模式 GPS有效性 GPS经度 GPS纬度 GPS高度 GPS东速 GPS北速 GPS天速
   3068 01 60 5a 116.603149 40.141692 34.39 0.0081 -0.0220 -0.0358
   3108 01 60 5a 116.603149 40.141692 34.39 -0.0043 -0.0004 -0.0258
   3148 01 60 5a 116.603149 40.141692 34.39 -0.0048 0.0177 0.0347
   3188 01 60 5a 116.603149 40.141692 34.39 -0.0031 0.0020 -0.0064
   3228 01 60 5a 116.603149 40.141692 34.38 0.0096 -0.0280 -0.0245
   3269 01 60 5a 116.603149 40.141692 34.39 0.0168 0.0304 0.0199
   3308 01 60 5a 116.603149 40.141692 34.39 -0.0016 0.0054 0.0012
   3349 01 60 5a 116.603149 40.141692 34.39 0.0108 -0.0287 -0.0204
   3388 01 60 5a 116.603149 40.141692 34.38 0.0167 0.0078 -0.0277
   3428 01 60 5a 116.603149 40.141692 34.38 -0.0008 0.0126 -0.0044
   3468 01 60 5a 116.603149 40.141692 34.38 0.0037 -0.0018 -0.0049
   3508 01 60 5a 116.603149 40.141692 34.38 -0.0052 -0.0028 0.0357
   3548 01 60 5a 116.603149 40.141692 34.37 0.0013 0.0182 0.0373
   3589 01 60 5a 116.603149 40.141692 34.36 0.0006 0.0059 -0.0402
   3628 01 60 5a 116.603149 40.141692 34.36 0.0145 -0.0054 -0.0357
   3668 01 60 5a 116.603149 40.141692 34.36 -0.0026 -0.0143 -0.0195
   3708 01 60 5a 116.603149 40.141692 34.36 -0.0040 -0.0043 0.0048
   3748 01 60 5a 116.603149 40.141692 34.36 0.0060 -0.0009 0.0412
   3788 01 60 5a 116.603149 40.141692 34.35 0.0022 -0.0031 0.0011
   3829 01 60 5a 116.603149 40.141692 34.35 -0.0059 0.0058 0.0198
   3868 01 60 5a 116.603149 40.141692 34.35 0.0008 0.0311 0.0292
   3908 01 60 5a 116.603149 40.141692 34.34 0.0020 0.0002 -0.0289
   3948 01 60 5a 116.603149 40.141692 34.34 -0.0178 -0.0076 0.0007
   3988 01 60 5a 116.603149 40.141692 34.34 0.0026 -0.0034 -0.0013
