iPhasePC GPS状态 GPS模式 GPS有效性 GPS经度 GPS纬度 GPS高度 GPS东速 GPS北速 GPS天速
  13228 01 60 5a 116.603160 40.141713 35.10 0.0026 0.0116 0.0068
  13268 01 60 5a 116.603160 40.141713 35.08 -0.0116 -0.0138 -0.0492
  13308 01 60 5a 116.603161 40.141713 35.08 -0.0039 -0.0069 -0.0004
  13348 01 60 5a 116.603161 40.141713 35.08 0.0050 -0.0044 -0.0496
  13388 01 60 5a 116.603152 40.141696 34.01 -0.0054 -0.0188 -0.0135
  13428 01 60 5a 116.603151 40.141695 34.30 0.0170 0.0051 -0.0017
  13468 01 60 5a 116.603151 40.141695 34.31 0.0077 0.0236 0.0015
  13508 01 60 5a 116.603151 40.141695 34.31 0.0060 0.0199 0.0516
  13548 01 60 5a 116.603151 40.141695 34.31 -0.0006 -0.0046 0.0084
  13588 01 60 5a 116.603151 40.141695 34.31 0.0057 -0.0209 -0.0353
  13628 01 60 5a 116.603151 40.141695 34.30 0.0082 -0.0278 -0.0166
  13668 01 60 5a 116.603151 40.141695 34.31 -0.0071 0.0015 0.0328
  13708 01 60 5a 116.603151 40.141695 34.30 -0.0068 -0.0089 0.0057
  13748 01 60 5a 116.603151 40.141695 34.30 -0.0016 0.0244 -0.0072
  13788 01 60 5a 116.603151 40.141695 34.30 0.0042 -0.0093 0.0180
  13828 01 60 5a 116.603151 40.141695 34.30 -0.0007 0.0218 0.0288
  13868 01 60 5a 116.603151 40.141695 34.31 0.0022 0.0017 0.0532
  13908 01 60 5a 116.603151 40.141695 34.31 -0.0007 0.0044 0.0092
  13948 01 60 5a 116.603151 40.141695 34.31 -0.0044 -0.0040 0.0017
  13988 01 60 5a 116.603151 40.141695 34.31 0.0004 -0.0090 0.0169
  14028 01 60 5a 116.603151 40.141695 34.31 -0.0206 0.0066 0.0052
  14068 01 60 5a 116.603151 40.141695 34.31 0.0091 0.0079 -0.0053
  14108 01 60 5a 116.603151 40.141695 34.32 0.0073 0.0008 -0.0301
  14148 01 60 5a 116.603151 40.141695 34.32 -0.0144 0.0000 0.0143
  14188 01 60 5a 116.603151 40.141695 34.33 -0.0055 -0.0012 0.0523
  14228 01 60 5a 116.603151 40.141695 34.32 -0.0032 -0.0190 -0.0064
  14268 01 60 5a 116.603159 40.141710 35.50 0.0155 -0.0048 -0.0317
  14308 01 60 5a 116.603160 40.141714 35.16 -0.0113 0.0077 -0.0444
  14348 01 60 5a 116.603160 40.141714 35.15 -0.0113 -0.0044 -0.0100
  14388 01 60 5a 116.603159 40.141712 35.29 -0.0162 0.0218 0.0061
  14428 01 60 5a 116.603159 40.141712 35.29 -0.0048 0.0129 0.0507
  14468 01 60 5a 116.603159 40.141712 35.29 -0.0129 -0.0056 0.0145
  14508 01 60 5a 116.603151 40.141695 34.30 -0.0087 -0.0107 -0.0329
  14548 01 60 5a 116.603151 40.141695 34.31 -0.0113 0.0052 0.0398
  14588 01 60 5a 116.603151 40.141695 34.30 0.0153 0.0005 -0.0080
  14628 01 60 5a 116.603151 40.141695 34.30 -0.0084 0.0063 0.0192
  14668 01 60 5a 116.603151 40.141695 34.30 -0.0069 -0.0130 -0.0226
  14708 01 60 5a 116.603151 40.141695 34.31 0.0106 0.0036 0.0181
  14748 01 60 5a 116.603151 40.141695 34.31 0.0017 0.0193 0.0071
  14788 01 60 5a 116.603151 40.141695 34.31 0.0092 0.0143 0.0149
  14828 01 60 5a 116.603151 40.141695 34.30 -0.0076 -0.0112 -0.0237
  14868 01 60 5a 116.603151 40.141695 34.30 -0.0140 -0.0428 -0.0071
  14908 01 60 5a 116.603151 40.141695 34.31 -0.0045 0.0094 0.0002
  14948 01 60 5a 116.603151 40.141695 34.31 0.0189 0.0135 -0.0053
  14988 01 60 5a 116.603151 40.141695 34.31 -0.0049 -0.0113 0.0124
  15028 01 60 5a 116.603151 40.141695 34.31 -0.0043 -0.0325 -0.0081
  15068 01 60 5a 116.603151 40.141695 34.31 0.0041 -0.0137 -0.0180
  15108 01 60 5a 116.603151 40.141695 34.32 0.0145 0.0045 0.0473
  15148 01 60 5a 116.603151 40.141695 34.31 -0.0009 0.0041 0.0012
  15188 01 60 5a 116.603151 40.141695 34.31 0.0065 0.0176 -0.0010
  15228 01 60 5a 116.603151 40.141695 34.31 -0.0003 0.0028 0.0201
  15268 01 60 5a 116.603151 40.141695 34.31 0.0052 0.0053 0.0164
  15308 01 60 5a 116.603151 40.141695 34.31 0.0057 0.0018 0.0127
  15348 01 60 5a 116.603151 40.141695 34.31 0.0032 -0.0077 -0.0028
  15388 01 60 5a 116.603150 40.141695 34.31 0.0019 -0.0267 -0.0093
  15428 01 60 5a 116.603150 40.141695 34.31 -0.0035 -0.0053 0.0054
  15468 01 60 5a 116.603150 40.141695 34.31 0.0079 0.0313 0.0212
  15508 01 60 5a 116.603150 40.141695 34.31 0.0118 -0.0051 -0.0257
  15548 01 60 5a 116.603150 40.141695 34.31 0.0031 -0.0180 0.0044
  15588 01 60 5a 116.603150 40.141695 34.31 0.0035 -0.0047 -0.0022
  15628 01 60 5a 116.603150 40.141695 34.30 0.0165 0.0196 -0.0058
  15668 01 60 5a 116.603150 40.141695 34.31 -0.0049 0.0063 -0.0031
  15708 01 60 5a 116.603150 40.141695 34.31 -0.0227 -0.0338 -0.0042
  15748 01 60 5a 116.603150 40.141695 34.31 -0.0144 -0.0012 0.0098
  15788 01 60 5a 116.603150 40.141695 34.31 0.0073 0.0253 -0.0159
  15828 01 60 5a 116.603150 40.141695 34.32 0.0150 0.0101 0.0188
  15868 01 60 5a 116.603150 40.141695 34.31 0.0010 -0.0081 -0.0279
  15908 01 60 5a 116.603150 40.141695 34.32 -0.0072 -0.0317 -0.0227
  15948 01 60 5a 116.603150 40.141695 34.32 -0.0051 -0.0118 0.0187
  15988 01 60 5a 116.603150 40.141695 34.33 -0.0038 -0.0200 -0.0036
  16028 01 60 5a 116.603150 40.141695 34.33 0.0141 0.0214 0.0545
  16068 01 60 5a 116.603150 40.141695 34.33 -0.0016 0.0080 0.0013
  16108 01 60 5a 116.603150 40.141695 34.34 0.0150 0.0112 0.0282
  16148 01 60 5a 116.603150 40.141695 34.34 -0.0009 -0.0192 0.0381
  16188 01 60 5a 116.603150 40.141695 34.35 0.0075 -0.0129 0.0080
  16228 01 60 5a 116.603150 40.141695 34.35 -0.0051 -0.0152 0.0082
  16268 01 60 5a 116.603150 40.141695 34.35 -0.0069 0.0103 0.0118
  16308 01 60 5a 116.603150 40.141695 34.36 0.0008 0.0061 0.0280
  16348 01 60 5a 116.603150 40.141695 34.36 0.0005 0.0050 0.0014
  16388 01 60 5a 116.603150 40.141695 34.39 -0.0101 -0.0057 0.0416
  16428 01 60 5a 116.603150 40.141695 34.39 -0.0094 -0.0147 0.0191
  16468 01 60 5a 116.603150 40.141695 34.40 -0.0121 -0.0090 0.0138
  16508 01 60 5a 116.603150 40.141695 34.40 -0.0113 -0.0048 -0.0037
  16548 01 60 5a 116.603150 40.141695 34.41 0.0016 -0.0121 -0.0033
  16588 01 60 5a 116.603150 40.141696 34.32 -0.0036 -0.0014 -0.0096
  16628 01 60 5a 116.603150 40.141696 34.33 -0.0105 -0.0011 0.0139
  16668 01 60 5a 116.603150 40.141696 34.34 -0.0023 0.0205 -0.0004
  16708 01 60 5a 116.603150 40.141695 34.44 0.0141 0.0183 -0.0021
  16748 01 60 5a 116.603150 40.141695 34.45 0.0127 -0.0167 0.0094
  16788 01 60 5a 116.603150 40.141695 34.45 0.0087 -0.0109 0.0109
  16828 01 60 5a 116.603150 40.141695 34.41 -0.0102 -0.0028 -0.0342
  16868 01 60 5a 116.603150 40.141695 34.42 -0.0011 0.0050 -0.0086
  16908 01 60 5a 116.603150 40.141695 34.42 0.0124 0.0015 -0.0250
  16948 01 60 5a 116.603150 40.141695 34.42 0.0019 -0.0222 -0.0408
  16988 01 60 5a 116.603150 40.141695 34.39 0.0006 0.0261 0.0146
  17028 01 60 5a 116.603158 40.141713 35.72 -0.0137 0.0306 0.0055
  17068 01 60 5a 116.603158 40.141713 35.73 0.0005 -0.0095 0.0331
  17108 01 60 5a 116.603158 40.141713 35.72 0.0086 0.0018 -0.0232
  17148 01 60 5a 116.603159 40.141714 35.57 0.0021 0.0006 -0.0366
  17188 01 60 5a 116.603159 40.141714 35.58 -0.0015 0.0102 0.0453
  17228 01 60 5a 116.603159 40.141714 35.57 -0.0049 0.0081 0.0104
  17268 01 60 5a 116.603150 40.141695 34.39 0.0218 0.0191 0.0172
  17308 01 60 5a 116.603150 40.141695 34.39 0.0026 0.0136 0.0299
  17348 01 60 5a 116.603150 40.141695 34.38 0.0015 0.0009 -0.0309
  17388 01 60 5a 116.603150 40.141695 34.38 0.0021 0.0026 -0.0020
  17428 01 60 5a 116.603150 40.141695 34.37 -0.0076 -0.0141 0.0298
  17468 01 60 5a 116.603150 40.141695 34.37 -0.0003 0.0104 -0.0307
  17508 01 60 5a 116.603150 40.141695 34.37 -0.0033 -0.0282 -0.0542
  17548 01 60 5a 116.603150 40.141695 34.37 0.0048 0.0041 -0.0015
  17588 01 60 5a 116.603150 40.141695 34.36 -0.0043 -0.0182 -0.0280
  17628 01 60 5a 116.603150 40.141695 34.36 -0.0032 0.0121 0.0096
  17668 01 60 5a 116.603150 40.141695 34.36 0.0068 0.0109 -0.0042
  17708 01 60 5a 116.603150 40.141695 34.36 0.0013 0.0066 0.0410
  17748 01 60 5a 116.603149 40.141695 34.35 0.0051 0.0219 -0.0422
  17788 01 60 5a 116.603149 40.141695 34.35 -0.0060 -0.0080 0.0084
  17828 01 60 5a 116.603149 40.141695 34.35 0.0020 -0.0008 0.0185
  17868 01 60 5a 116.603149 40.141695 34.35 0.0002 0.0087 0.0397
  17908 01 60 5a 116.603149 40.141695 34.35 -0.0125 0.0039 -0.0132
  17948 01 60 5a 116.603149 40.141695 34.35 -0.0041 -0.0170 -0.0037
  17988 01 60 5a 116.603149 40.141695 34.35 -0.0035 -0.0035 -0.0309
  18028 01 60 5a 116.603149 40.141695 34.36 0.0057 -0.0130 0.0057
  18068 01 60 5a 116.603149 40.141695 34.36 0.0061 0.0143 0.0277
  18108 01 60 5a 116.603149 40.141695 34.36 0.0074 0.0283 0.0222
  18148 01 60 5a 116.603149 40.141695 34.36 -0.0024 -0.0331 -0.0073
  18188 01 60 5a 116.603149 40.141695 34.36 -0.0028 0.0046 -0.0018
  18228 01 60 5a 116.603149 40.141695 34.36 -0.0214 -0.0340 -0.0184
  18268 01 60 5a 116.603149 40.141695 34.36 -0.0038 0.0168 0.0209
  18308 01 60 5a 116.603149 40.141695 34.36 0.0089 -0.0057 -0.0166
  18348 01 60 5a 116.603149 40.141695 34.37 0.0046 0.0192 0.0357
  18388 01 60 5a 116.603149 40.141695 34.37 -0.0014 0.0170 0.0015
  18428 01 60 5a 116.603149 40.141695 34.37 0.0013 -0.0130 -0.0191
  18468 01 60 5a 116.603149 40.141695 34.37 0.0030 -0.0119 -0.0331
  18508 01 60 5a 116.603149 40.141695 34.37 0.0016 0.0122 -0.0042
  18548 01 60 5a 116.603149 40.141695 34.37 0.0157 0.0104 -0.0399
  18588 01 60 5a 116.603149 40.141695 34.37 0.0021 -0.0404 0.0170
  18628 01 60 5a 116.603149 40.141695 34.36 -0.0098 -0.0113 -0.0214
  18668 01 60 5a 116.603149 40.141695 34.37 -0.0109 -0.0302 0.0612
  18708 01 60 5a 116.603149 40.141696 34.28 -0.0203 -0.0579 0.0099
  18748 01 60 5a 116.603149 40.141696 34.27 -0.0009 -0.0123 0.0004
  18788 01 60 5a 116.603149 40.141696 34.20 -0.0172 -0.0747 -0.0102
  18828 01 60 5a 116.603149 40.141696 34.21 0.0265 0.0715 0.0461
  18868 01 60 5a 116.603149 40.141696 34.21 0.0056 0.0130 0.0253
  18908 01 60 5a 116.603149 40.141695 34.34 -0.0014 0.0324 0.0305
  18948 01 60 5a 116.603149 40.141695 34.33 -0.0043 -0.0232 -0.0338
  18988 01 60 5a 116.603149 40.141695 34.33 -0.0240 -0.0444 -0.0330
  19028 01 60 5a 116.603149 40.141695 34.33 0.0100 -0.0186 0.0349
  19068 01 60 5a 116.603149 40.141695 34.33 0.0265 0.0781 0.0627
  19108 01 60 5a 116.603149 40.141695 34.33 0.0062 0.0223 0.0245
  19148 01 60 5a 116.603149 40.141695 34.34 0.0056 -0.0074 0.0080
  19188 01 60 5a 116.603149 40.141695 34.33 0.0093 -0.0134 -0.0278
  19228 01 60 5a 116.603149 40.141695 34.34 0.0117 -0.0003 0.0365
  19268 01 60 5a 116.603149 40.141695 34.34 0.0006 0.0032 0.0272
  19308 01 60 5a 116.603149 40.141695 34.34 -0.0069 -0.0016 0.0120
  19348 01 60 5a 116.603149 40.141695 34.34 0.0036 -0.0026 -0.0080
  19388 01 60 5a 116.603149 40.141695 34.34 0.0147 -0.0062 -0.0105
  19428 01 60 5a 116.603149 40.141695 34.34 -0.0004 0.0023 0.0223
  19468 01 60 5a 116.603149 40.141695 34.34 -0.0146 0.0078 -0.0128
  19508 01 60 5a 116.603149 40.141695 34.34 -0.0062 0.0068 -0.0030
  19548 01 60 5a 116.603149 40.141695 34.34 -0.0035 -0.0212 -0.0246
  19588 01 60 5a 116.603149 40.141695 34.34 -0.0025 -0.0015 0.0082
  19628 01 60 5a 116.603149 40.141695 34.34 -0.0041 -0.0022 0.0093
  19668 01 60 5a 116.603149 40.141695 34.34 0.0082 0.0018 0.0283
  19708 01 60 5a 116.603149 40.141695 34.34 0.0000 0.0038 0.0041
  19748 01 60 5a 116.603149 40.141695 34.33 -0.0018 -0.0211 -0.0113
  19788 01 60 5a 116.603149 40.141695 34.34 -0.0155 0.0040 0.0110
  19828 01 60 5a 116.603149 40.141695 34.34 -0.0017 0.0007 0.0051
  19868 01 60 5a 116.603149 40.141695 34.34 -0.0176 -0.0337 -0.0092
  19908 01 60 5a 116.603149 40.141695 34.35 0.0111 0.0049 0.0168
  19948 01 60 5a 116.603149 40.141695 34.36 0.0054 -0.0130 0.0114
  19988 01 60 5a 116.603149 40.141695 34.37 -0.0171 -0.0172 0.0123
  20028 01 60 5a 116.603149 40.141696 34.38 0.0057 -0.0072 0.0181
  20068 01 60 5a 116.603149 40.141696 34.39 -0.0083 -0.0065 0.0255
  20108 01 60 5a 116.603149 40.141696 34.39 0.0219 -0.0176 -0.0153
  20148 01 60 5a 116.603149 40.141696 34.40 -0.0145 -0.0335 -0.0365
  20188 01 60 5a 116.603149 40.141696 34.41 0.0041 -0.0013 0.0361
  20228 01 60 5a 116.603149 40.141696 34.42 0.0124 0.0107 0.0362
  20268 01 60 5a 116.603149 40.141696 34.42 -0.0018 -0.0141 0.0267
  20308 01 60 5a 116.603149 40.141696 34.43 0.0125 0.0465 0.0594
  20348 01 60 5a 116.603149 40.141696 34.43 -0.0023 0.0298 -0.0183
  20388 01 60 5a 116.603149 40.141696 34.44 0.0001 0.0000 -0.0373
  20428 01 60 5a 116.603149 40.141696 34.45 -0.0044 -0.0244 0.0158
  20468 01 60 5a 116.603149 40.141696 34.46 -0.0149 0.0067 0.0190
  20508 01 60 5a 116.603149 40.141696 34.47 0.0023 0.0239 -0.0066
  20548 01 60 5a 116.603149 40.141696 34.49 -0.0096 -0.0317 -0.0066
  20588 01 60 5a 116.603149 40.141696 34.50 -0.0068 -0.0094 -0.0036
  20628 01 60 5a 116.603149 40.141696 34.51 0.0134 0.0049 0.0003
  20668 01 60 5a 116.603149 40.141696 34.52 0.0170 0.0101 0.0102
  20708 01 60 5a 116.603149 40.141696 34.53 0.0104 0.0156 0.0030
  20748 01 60 5a 116.603149 40.141696 34.54 -0.0057 0.0093 0.0078
  20788 01 60 5a 116.603149 40.141696 34.54 -0.0153 -0.0217 -0.0119
  20828 01 60 5a 116.603149 40.141696 34.55 0.0086 0.0208 0.0058
  20868 01 60 5a 116.603149 40.141696 34.55 -0.0075 -0.0244 0.0090
  20908 01 60 5a 116.603149 40.141696 34.56 -0.0109 0.0079 0.0149
  20948 01 60 5a 116.603149 40.141696 34.56 0.0067 0.0107 0.0231
  20988 01 60 5a 116.603149 40.141696 34.56 0.0020 -0.0125 -0.0104
  21028 01 60 5a 116.603149 40.141696 34.57 0.0104 0.0194 -0.0003
  21068 01 60 5a 116.603149 40.141696 34.57 0.0150 0.0052 -0.0127
  21108 01 60 5a 116.603149 40.141696 34.40 0.0063 -0.0066 -0.0077
  21148 01 60 5a 116.603149 40.141696 34.40 -0.0072 0.0271 0.0147
  21188 01 60 5a 116.603149 40.141696 34.40 -0.0191 0.0040 -0.0203
  21228 01 60 5a 116.603149 40.141696 34.41 -0.0080 -0.0007 -0.0025
  21268 01 60 5a 116.603149 40.141696 34.41 -0.0001 0.0344 -0.0039
  21308 01 60 5a 116.603149 40.141696 34.41 0.0018 0.0525 0.0713
  21348 01 60 5a 116.603149 40.141696 34.60 0.0013 -0.0228 -0.0268
  21388 01 60 5a 116.603149 40.141696 34.61 -0.0070 -0.0043 0.0173
  21428 01 60 5a 116.603149 40.141696 34.61 -0.0002 0.0173 0.0313
  21468 01 60 5a 116.603149 40.141696 34.61 -0.0183 -0.0592 -0.0169
  21508 01 60 5a 116.603149 40.141696 34.62 0.0028 0.0152 0.0085
  21548 01 60 5a 116.603149 40.141696 34.62 0.0307 0.0174 0.0053
  21588 01 60 5a 116.603149 40.141696 34.63 -0.0135 -0.0101 0.0031
  21628 01 60 5a 116.603149 40.141696 34.64 0.0040 0.0054 0.0038
  21668 01 60 5a 116.603149 40.141696 34.65 0.0125 0.0077 0.0017
  21708 01 60 5a 116.603149 40.141696 34.65 0.0039 0.0274 -0.0041
  21748 01 60 5a 116.603149 40.141696 34.66 -0.0174 0.0012 0.0212
  21788 01 60 5a 116.603149 40.141697 34.67 0.0125 0.0108 0.0125
  21828 01 60 5a 116.603149 40.141697 34.68 0.0106 0.0040 0.0136
  21868 01 60 5a 116.603149 40.141697 34.69 -0.0135 -0.0381 -0.0032
  21908 01 60 5a 116.603149 40.141697 34.70 -0.0229 -0.0243 0.0150
  21948 01 60 5a 116.603149 40.141697 34.70 0.0003 0.0314 0.0206
  21988 01 60 5a 116.603149 40.141697 34.69 -0.0122 -0.0331 0.0054
  22028 01 60 5a 116.603149 40.141697 34.69 -0.0038 -0.0083 0.0465
  22068 01 60 5a 116.603149 40.141697 34.69 0.0116 0.0261 0.0173
  22108 01 60 5a 116.603149 40.141697 34.69 -0.0068 -0.0088 -0.0056
  22148 01 60 5a 116.603149 40.141697 34.69 -0.0007 -0.0103 0.0000
  22188 01 60 5a 116.603149 40.141697 34.69 -0.0102 -0.0211 0.0036
  22228 01 60 5a 116.603149 40.141697 34.69 0.0030 -0.0186 0.0007
  22268 01 60 5a 116.603149 40.141697 34.68 0.0058 0.0087 -0.0023
  22308 01 60 5a 116.603149 40.141697 34.68 -0.0212 -0.0160 0.0159
  22348 01 60 5a 116.603149 40.141697 34.67 0.0134 0.0222 0.0035
  22388 01 60 5a 116.603149 40.141697 34.67 0.0102 0.0335 -0.0020
  22428 01 60 5a 116.603149 40.141696 34.42 -0.0099 0.0226 0.0380
  22468 01 60 5a 116.603149 40.141696 34.41 0.0210 0.0199 0.0202
  22508 01 60 5a 116.603149 40.141696 34.40 0.0007 -0.0191 -0.0053
  22548 01 60 5a 116.603149 40.141697 34.65 0.0068 0.0103 -0.0031
  22588 01 60 5a 116.603149 40.141697 34.65 0.0048 -0.0111 0.0308
  22628 01 60 5a 116.603149 40.141696 34.63 0.0014 -0.0378 -0.0396
  22668 01 60 5a 116.603149 40.141696 34.63 0.0097 -0.0180 0.0024
  22708 01 60 5a 116.603149 40.141696 34.63 -0.0147 -0.0194 0.0032
  22748 01 60 5a 116.603149 40.141696 34.63 -0.0265 -0.0157 0.0143
  22788 01 60 5a 116.603148 40.141695 34.39 0.0031 0.0197 0.0128
  22828 01 60 5a 116.603148 40.141695 34.39 -0.0001 -0.0080 -0.0139
  22868 01 60 5a 116.603148 40.141696 34.62 -0.0124 -0.0141 0.0222
  22908 01 60 5a 116.603148 40.141696 34.62 -0.0195 -0.0171 0.0195
  22948 01 60 5a 116.603148 40.141696 34.62 0.0000 0.0086 0.0182
  22988 01 60 5a 116.603148 40.141696 34.62 -0.0013 -0.0084 0.0255
  23028 01 60 5a 116.603148 40.141696 34.61 -0.0081 -0.0515 -0.0023
  23068 01 60 5a 116.603148 40.141696 34.62 0.0107 0.0161 0.0620
  23108 01 60 5a 116.603148 40.141696 34.60 -0.0379 -0.0318 0.0073
  23148 01 60 5a 116.603148 40.141696 34.60 -0.0014 -0.0013 0.0086
  23188 01 60 5a 116.603148 40.141696 34.60 -0.0027 0.0214 0.0239
  23228 01 60 5a 116.603148 40.141696 34.60 -0.0018 0.0114 -0.0084
  23268 01 60 5a 116.603148 40.141696 34.60 -0.0154 -0.0476 0.0229
  23308 01 60 5a 116.603148 40.141696 34.60 0.0165 0.0124 0.0022
  23348 01 60 5a 116.603148 40.141696 34.60 0.0164 0.0235 0.0414
  23388 01 60 5a 116.603148 40.141696 34.60 -0.0179 -0.0229 -0.0295
  23428 01 60 5a 116.603148 40.141696 34.59 0.0089 0.0321 -0.0031
  23468 01 60 5a 116.603148 40.141696 34.59 -0.0220 -0.0451 -0.0034
  23508 01 60 5a 116.603148 40.141696 34.59 -0.0014 0.0068 0.0067
  23548 01 60 5a 116.603148 40.141696 34.58 -0.0068 0.0248 -0.0109
  23588 01 60 5a 116.603148 40.141696 34.58 0.0010 -0.0271 0.0090
  23628 01 60 5a 116.603148 40.141696 34.58 -0.0073 0.0019 0.0046
  23668 01 60 5a 116.603148 40.141696 34.58 -0.0063 -0.0364 -0.0345
  23708 01 60 5a 116.603148 40.141696 34.58 -0.0202 -0.0387 0.0048
  23748 01 60 5a 116.603148 40.141696 34.57 -0.0180 -0.0003 0.0290
  23788 01 60 5a 116.603148 40.141696 34.56 0.0025 0.0003 0.0220
  23828 01 60 5a 116.603148 40.141696 34.55 -0.0031 -0.0042 0.0134
  23868 01 60 5a 116.603148 40.141696 34.55 -0.0168 -0.0128 -0.0072
  23908 01 60 5a 116.603148 40.141696 34.54 0.0209 0.0171 -0.0009
  23948 01 60 5a 116.603148 40.141696 34.54 0.0112 0.0158 -0.0064
  23988 01 60 5a 116.603148 40.141696 34.54 0.0005 -0.0008 -0.0028
  24028 01 60 5a 116.603148 40.141696 34.53 -0.0078 0.0181 0.0187
  24068 01 60 5a 116.603148 40.141696 34.53 -0.0252 -0.0165 -0.0143
  24108 01 60 5a 116.603148 40.141696 34.52 0.0046 -0.0107 0.0309
  24148 01 60 5a 116.603148 40.141695 34.51 0.0219 0.0212 0.0021
  24188 01 60 5a 116.603148 40.141693 34.07 -0.0255 -0.0241 -0.0254
  24228 01 60 5a 116.603148 40.141693 34.07 -0.0206 -0.0114 -0.0268
  24268 01 60 5a 116.603148 40.141693 34.07 -0.0069 -0.0146 0.0098
  24308 01 60 5a 116.603148 40.141693 34.06 -0.0209 0.0007 0.0253
  24348 01 60 5a 116.603148 40.141693 34.06 0.0041 0.0000 0.0333
  24388 01 60 5a 116.603148 40.141693 34.06 0.0169 0.0194 0.0701
  24428 01 60 5a 116.603148 40.141693 34.06 0.0148 0.0314 -0.0119
  24468 01 60 5a 116.603148 40.141693 34.06 0.0122 0.0239 0.0137
  24508 01 60 5a 116.603148 40.141693 34.06 0.0025 0.0066 0.0141
  24548 01 60 5a 116.603148 40.141693 34.05 -0.0061 -0.0177 -0.0068
  24588 01 60 5a 116.603148 40.141693 34.05 0.0062 -0.0003 0.0272
  24628 01 60 5a 116.603148 40.141693 34.06 -0.0163 -0.0087 -0.0061
  24668 01 60 5a 116.603148 40.141693 34.06 -0.0213 -0.0083 0.0020
  24708 01 60 5a 116.603148 40.141693 34.06 -0.0161 -0.0272 -0.0331
  24748 01 60 5a 116.603148 40.141693 34.07 0.0081 0.0218 0.0265
  24788 01 60 5a 116.603148 40.141693 34.07 0.0086 -0.0081 0.0046
  24828 01 60 5a 116.603148 40.141693 34.07 0.0222 0.0117 -0.0156
  24868 01 60 5a 116.603148 40.141693 34.07 -0.0054 -0.0354 -0.0650
  24908 01 60 5a 116.603148 40.141693 34.08 0.0050 0.0140 -0.0118
  24948 01 60 5a 116.603148 40.141693 34.08 0.0168 0.0240 0.0165
  24988 01 60 5a 116.603148 40.141693 34.07 -0.0009 -0.0004 -0.0008
  25028 01 60 5a 116.603148 40.141693 34.07 -0.0079 -0.0140 0.0085
  25068 01 60 5a 116.603148 40.141693 34.06 -0.0164 -0.0127 -0.0467
  25108 01 60 5a 116.603148 40.141693 34.06 -0.0092 0.0002 -0.0227
  25148 01 60 5a 116.603148 40.141693 34.06 -0.0113 0.0011 0.0159
  25188 01 60 5a 116.603148 40.141693 34.05 0.0012 0.0095 0.0135
  25228 01 60 5a 116.603148 40.141693 33.98 -0.0079 -0.0526 -0.0054
  25268 01 60 5a 116.603148 40.141693 33.98 -0.0054 -0.0285 0.0168
  25308 01 60 5a 116.603148 40.141693 33.98 0.0160 0.0049 0.0062
  25348 01 60 5a 116.603148 40.141693 33.97 0.0021 0.0168 0.0301
  25388 01 60 5a 116.603148 40.141693 33.97 0.0127 0.0201 -0.0050
  25428 01 60 5a 116.603148 40.141693 33.97 0.0068 -0.0097 -0.0089
  25468 01 60 5a 116.603148 40.141693 34.05 -0.0264 -0.0416 -0.0078
  25508 01 60 5a 116.603148 40.141693 34.05 0.0038 0.0081 0.0046
  25548 01 60 5a 116.603148 40.141693 34.05 0.0174 0.0293 0.0204
  25588 01 60 5a 116.603148 40.141693 34.05 -0.0030 -0.0070 -0.0330
  25628 01 60 5a 116.603148 40.141693 34.05 -0.0062 0.0029 -0.0257
  25668 01 60 5a 116.603148 40.141693 34.06 0.0208 -0.0003 0.0491
  25708 01 60 5a 116.603148 40.141693 34.05 -0.0149 -0.0062 -0.0145
  25748 01 60 5a 116.603148 40.141693 34.06 -0.0092 0.0347 0.0142
  25788 01 60 5a 116.603148 40.141693 34.06 -0.0167 -0.0257 -0.0015
  25828 01 60 5a 116.603148 40.141693 34.06 -0.0092 0.0168 -0.0087
  25868 01 60 5a 116.603148 40.141693 34.07 -0.0132 0.0035 0.0025
  25908 01 60 5a 116.603148 40.141693 33.94 0.0257 0.0345 -0.0022
  25948 01 60 5a 116.603148 40.141693 33.93 0.0130 0.0118 -0.0132
  25988 01 60 5a 116.603148 40.141693 33.94 -0.0093 -0.0082 0.0187
  26028 01 60 5a 116.603148 40.141693 34.06 0.0072 0.0134 -0.0038
  26068 01 60 5a 116.603148 40.141693 34.06 0.0000 -0.0013 0.0042
  26108 01 60 5a 116.603148 40.141693 34.05 0.0064 0.0081 0.0186
  26148 01 60 5a 116.603148 40.141693 34.06 -0.0254 -0.0219 0.0227
  26188 01 60 5a 116.603148 40.141693 34.06 0.0152 0.0113 0.0370
  26228 01 60 5a 116.603148 40.141693 34.06 0.0019 0.0010 -0.0095
  26268 01 60 5a 116.603148 40.141693 34.06 0.0079 0.0271 0.0039
  26308 01 60 5a 116.603148 40.141693 34.06 -0.0020 0.0075 0.0519
  26348 01 60 5a 116.603148 40.141693 34.06 0.0096 -0.0050 -0.0167
  26388 01 60 5a 116.603148 40.141693 34.06 0.0082 -0.0016 -0.0027
  26428 01 60 5a 116.603148 40.141693 34.06 -0.0005 -0.0196 -0.0393
  26468 01 60 5a 116.603148 40.141693 34.07 -0.0004 -0.0149 -0.0275
  26508 01 60 5a 116.603148 40.141693 34.08 0.0091 -0.0183 -0.0032
  26548 01 60 5a 116.603148 40.141693 34.09 0.0126 0.0248 -0.0195
  26588 01 60 5a 116.603148 40.141693 34.10 0.0010 -0.0021 -0.0029
  26628 01 60 5a 116.603148 40.141693 34.10 -0.0021 0.0077 -0.0050
